"Following orders had an error in the label creation process and can be retried but may require manual creation: %1","Following orders had an error in the label creation process and can be retried but may require manual creation: %1"
"Following orders have shipping methods that do not support tracking functionality, either change the shipping method to a DHL method or contact your developers: %1","Following orders have shipping methods that do not support tracking functionality, either change the shipping method to a DHL method or contact your developers: %1"
"Following orders are not eligible to be shipped, or have been shipped already: %1","Following orders are not eligible to be shipped, or have been shipped already: %1"
"Following orders have not categorized errors: %1","Following orders have not categorized errors: %1"
". ' ' .",". ' ' ."
"Following orders failed to create a shipment and label: %1","Following orders failed to create a shipment and label: %1"
"For these orders.","For these orders."
"Download DHL Labels","Download DHL Labels"
"Print DHL Labels","Print DHL Labels"
"None of the selected order(s) have DHL Parcel labels","None of the selected order(s) have DHL Parcel labels"
"Successfully downloaded %1 label(s) for the following orders: %2","Successfully downloaded %1 label(s) for the following orders: %2"
"Successfully downloaded %1 order(s)","Successfully downloaded %1 order(s)"
"Successfully downloaded %1 order(s) and %2 order(s) did not have all labels downloaded due to errors","Successfully downloaded %1 order(s) and %2 order(s) did not have all labels downloaded due to errors"
"None of the %1 order(s) have downloaded all their labels due to errors","None of the %1 order(s) have downloaded all their labels due to errors"
"Following orders have missing labels which could not be retrieved or the label ID was invalid: %1","Following orders have missing labels which could not be retrieved or the label ID was invalid: %1"
"Following orders don't have any labels: %1","Following orders don't have any labels: %1"
"Following orders have missing labels: %1","Following orders have missing labels: %1"
"Something went wrong when combining PDF's","Something went wrong when combining PDF's"
"Successfully printed %1 label(s) for the following orders: %2","Successfully printed %1 label(s) for the following orders: %2"
"Successfully printed %1 order(s)","Successfully printed %1 order(s)"
"Successfully printed %1 order(s) and %2 order(s) did not have all labels printed due to errors","Successfully printed %1 order(s) and %2 order(s) did not have all labels printed due to errors"
"None of the %1 order(s) have printed all their labels due to errors","None of the %1 order(s) have printed all their labels due to errors"
"Following orders could not be printed because no valid printer has been chosen: %1","Following orders could not be printed because no valid printer has been chosen: %1"
"Log file is empty","Log file is empty"
"Log file not found","Log file not found"
"Log file has been reset","Log file has been reset"
"Log file did not exist","Log file did not exist"
"The following error occurred: %1","The following error occurred: %1"
"Shipment not found","Shipment not found"
"No shipment ID provided in request","No shipment ID provided in request"
"Unable to acquire any printable labels","Unable to acquire any printable labels"
"%1 label(s) were not printed due to errors","%1 label(s) were not printed due to errors"
"successfully printed %1 label(s)","successfully printed %1 label(s)"
"Connection to API failed.","Connection to API failed."
"Standard delivery","Standard delivery"
"Evening delivery","Evening delivery"
"No neighbour delivery","No neighbour delivery"
"No neighbour and evening delivery","No neighbour and evening delivery"
"Saturday delivery","Saturday delivery"
ServicePoint,ServicePoint
"Morning delivery","Morning delivery"
"Same-day delivery","Same-day delivery"
"Invalid system.xml shipping method not found in ID","Invalid system.xml shipping method not found in ID"
"Display errors, orders stacked per error","Display errors, orders stacked per error"
"Display errors, individually per order","Display errors, individually per order"
"Hide all errors, but list order numbers","Hide all errors, but list order numbers"
"Hide all errors","Hide all errors"
"Show up to %s day ahead","Show up to %s day ahead"
"Show up to %s days ahead","Show up to %s days ahead"
"Delivered the next day","Delivered the next day"
"Delivered in %s days","Delivered in %s days"
"Default (1 label per page)","Default (1 label per page)"
"Print 3 labels per A4 sheet","Print 3 labels per A4 sheet"
"No printers found","No printers found"
"Price vs. Destination","Price vs. Destination"
"Order Subtotal (and above)","Order Subtotal (and above)"
"Weight vs. Destination","Weight vs. Destination"
"Order weight (and above)","Order weight (and above)"
"Item count vs. Destination","Item count vs. Destination"
"Order items (and above)","Order items (and above)"
"Invalid condition code: ""%1""","Invalid condition code: ""%1"""
"Flat pricing","Flat pricing"
"Variable zone pricing","Variable zone pricing"
"Order number","Order number"
"Order ID","Order ID"
"Custom text","Custom text"
No,No
"Yes (and for bulk label creation: enable if available)","Yes (and for bulk label creation: enable if available)"
"Yes (and for bulk label creation: must be available)","Yes (and for bulk label creation: must be available)"
Yes,Yes
"Yes, but only for orders with DHL shipping methods","Yes, but only for orders with DHL shipping methods"
"Requested column ""%1"" cannot be resolved (is the condition correct?)","Requested column ""%1"" cannot be resolved (is the condition correct?)"
"Value for column ""%1"" not found","Value for column ""%1"" not found"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"Unable to import data","Unable to import data"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"Something went wrong while importing dhl shipping rates.","Something went wrong while importing dhl shipping rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Do not drop off at neighbours","Do not drop off at neighbours"
"Delivery in the evening","Delivery in the evening"
"Package will also be delivered on Saturdays","Package will also be delivered on Saturdays"
"Deliver shipment before 11 AM","Deliver shipment before 11 AM"
"No neighbour","No neighbour"
Evening,Evening
Morning,Morning
"Send\nASAP","Send\nASAP"
"Send\ntomorrow","Send\ntomorrow"
"Send in\n%s days","Send in\n%s days"
"Send\ntoday","Send\ntoday"
"%s min(s)","%s min(s)"
"%s hour(s)","%s hour(s)"
"%s day(s)","%s day(s)"
"%s week(s)","%s week(s)"
"%s month(s)","%s month(s)"
"%s year(s)","%s year(s)"
"Unable to use track and trace and therefore no labels available for shipment %1","Unable to use track and trace and therefore no labels available for shipment %1"
"No labels found for shipment %1, order number #%2","No labels found for shipment %1, order number #%2"
"Unable to retrieve label %1","Unable to retrieve label %1"
"Failed to create label: %1","Failed to create label: %1"
"Failed to create label","Failed to create label"
"A shipment cannot be created for the order","A shipment cannot be created for the order"
"DHL ServicePoint delivery","DHL ServicePoint delivery"
Reference,Reference
"Reference 2","Reference 2"
"Return label","Return label"
"Extra Assured","Extra Assured"
"Signature on delivery","Signature on delivery"
"Evening delivery (6 AM to 9.30 PM)","Evening delivery (6 AM to 9.30 PM)"
"No delivery to neighbour","No delivery to neighbour"
"Shipment insurance","Shipment insurance"
"Saturday delivery (9 AM to 3 PM)","Saturday delivery (9 AM to 3 PM)"
Expresser,Expresser
"Delivery on construction site","Delivery on construction site"
"Ex Works","Ex Works"
"Hide Shipper","Hide Shipper"
"DHL Same-day delivery (6 p.m. to 9.30 p.m.)","DHL Same-day delivery (6 p.m. to 9.30 p.m.)"
"Age check (18+)","Age check (18+)"
"No printer selected","No printer selected"
"This printer no longer exists","This printer no longer exists"
"One of the labels you are trying to print is invalid","One of the labels you are trying to print is invalid"
"Failed to create label, issue occurred while creating track and trace link","Failed to create label, issue occurred while creating track and trace link"
"Failed to create return label","Failed to create return label"
"Failed to create label, missing shipper street","Failed to create label, missing shipper street"
"Failed to create label, missing shipper street number","Failed to create label, missing shipper street number"
"Failed to create label, missing receiver street","Failed to create label, missing receiver street"
"Failed to create label, missing receiver street number","Failed to create label, missing receiver street number"
"Failed to create label, missing hide shipper company name","Failed to create label, missing hide shipper company name"
"Failed to create label, missing hide shipper street number","Failed to create label, missing hide shipper street number"
"Failed to create label, missing hide shipper street","Failed to create label, missing hide shipper street"
"Failed to create label, missing hide shipper city","Failed to create label, missing hide shipper city"
"DHL Parcel extension has been turned on but user ID and API key combination is invalid","DHL Parcel extension has been turned on but user ID and API key combination is invalid"
"DHL ServicePoint:","DHL ServicePoint:"
"Unable to create DHL shipment because the shipment you are using does not support the ability to track it. Please contact your developer or use a different delivery method","Unable to create DHL shipment because the shipment you are using does not support the ability to track it. Please contact your developer or use a different delivery method"
"No DHL services could be found for this order with the selected service options: %1","No DHL services could be found for this order with the selected service options: %1"
"Shipment option label form not present","Shipment option label form not present"
"No shipping method selected","No shipping method selected"
"No ServicePoint selected","No ServicePoint selected"
"DHL Label Request","DHL Label Request"
"Create labels","Create labels"
"Create mailbox labels","Create mailbox labels"
"Create labels (only for DHL shipping methods)","Create labels (only for DHL shipping methods)"
"Create mailbox labels (only for DHL shipping methods)","Create mailbox labels (only for DHL shipping methods)"
"Download labels","Download labels"
"Print labels","Print labels"
"No DHL Parcel bulk operations enabled. Click here to go to the settings page. Bulk operations can be found in the Usability tab.","No DHL Parcel bulk operations enabled. Click here to go to the settings page. Bulk operations can be found in the Usability tab."
"Service: Saturday","Service: Saturday"
"Expected in %s","Expected in %s"
"Selected date has passed","Selected date has passed"
from,from
to,to
"Create DHL shipping label","Create DHL shipping label"
"Step 1 Recipient type","Step 1 Recipient type"
"Step 2 Delivery method","Step 2 Delivery method"
"Step 3 Extra services","Step 3 Extra services"
"Step 4 Package choice","Step 4 Package choice"
Package,Package
"Add more packages","Add more packages"
"Remove package","Remove package"
"Order and Account information","Order and Account information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order # %1","Order # %1"
"Order Date","Order Date"
"Order Date (%1)","Order Date (%1)"
"Order Status","Order Status"
"Purchased From","Purchased From"
"Link to the new order","Link to the new order"
"Link to the previous order","Link to the previous order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Account Information","Account Information"
"Edit Customer","Edit Customer"
"Customer Name","Customer Name"
Email,Email
"Customer Group","Customer Group"
"Address Information","Address Information"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Shipped By","Shipped By"
"Tracking Number","Tracking Number"
"Select this ServicePoint","Select this ServicePoint"
"DHL Delivery Options","DHL Delivery Options"
"Preferred moment of delivery","Preferred moment of delivery"
"Please choose the moment of delivery","Please choose the moment of delivery"
"Extra services","Extra services"
"Please wait...","Please wait..."
"DHL ServicePoint Options","DHL ServicePoint Options"
"You have selected","You have selected"
"Please choose a DHL ServicePoint.","Please choose a DHL ServicePoint."
"Please choose a DHL ServicePoint","Please choose a DHL ServicePoint"
"Choose a different DHL ServicePoint","Choose a different DHL ServicePoint"
"Field ","Field "
" is required."," is required."
"DHL Parcel","DHL Parcel"
Enabled,Enabled
"Extension version","Extension version"
Title,Title
"Sort Order","Sort Order"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Account Settings","Account Settings"
"API UserId","API UserId"
"API Key","API Key"
"Make sure to test your filled credentials. We will search for your account ID and Organization ID","Make sure to test your filled credentials. We will search for your account ID and Organization ID"
"My DHL Parcel Account ID","My DHL Parcel Account ID"
"Label Settings","Label Settings"
"Use DHL Parcel label for manual shipments","Use DHL Parcel label for manual shipments"
"Multiple labels per page","Multiple labels per page"
"Send to business","Send to business"
"Auto-enable: Extra assured","Auto-enable: Extra assured"
"Minimum order amount before enabling extra assured","Minimum order amount before enabling extra assured"
"Auto-enable: Reference","Auto-enable: Reference"
"Default text source for reference","Default text source for reference"
"Default text for reference","Default text for reference"
"Auto-enable: Reference 2","Auto-enable: Reference 2"
"Default text source for reference 2","Default text source for reference 2"
"Default text for reference 2","Default text for reference 2"
"Auto-enable: Return label","Auto-enable: Return label"
"Auto-enable: Signature","Auto-enable: Signature"
"Auto-enable: Age check 18+","Auto-enable: Age check 18+"
"Auto-enable: Hide shipper","Auto-enable: Hide shipper"
"Alternative tracking URL","Alternative tracking URL"
"Shipping Methods","Shipping Methods"
Standard,Standard
"Pricing method","Pricing method"
"Flat price","Flat price"
Condition,Condition
Export,Export
Import,Import
"Extra service - No neighbour: Enabled","Extra service - No neighbour: Enabled"
"No neighbour: Additional cost","No neighbour: Additional cost"
"No neighbour: Minimum order amount for no cost","No neighbour: Minimum order amount for no cost"
"Extra service - Evening: Enabled","Extra service - Evening: Enabled"
"Evening: Additional cost","Evening: Additional cost"
"Evening: Minimum order amount for no cost","Evening: Minimum order amount for no cost"
"Extra service - Saturday: Enabled","Extra service - Saturday: Enabled"
"Saturday: Additional cost","Saturday: Additional cost"
"Saturday: Minimum order amount for no cost","Saturday: Minimum order amount for no cost"
"Extra service - Morning: Enabled","Extra service - Morning: Enabled"
"Morning: Additional cost","Morning: Additional cost"
"Morning: Minimum order amount for no cost","Morning: Minimum order amount for no cost"
"No neighbour and evening","No neighbour and evening"
"Google Maps Javascript API Key","Google Maps Javascript API Key"
"Delivery Times","Delivery Times"
"In stock only","In stock only"
"Number of days","Number of days"
"Transit time","Transit time"
"Company name","Company name"
"First name","First name"
"Last name","Last name"
"Street name","Street name"
Housenumber,Housenumber
"Housenumber addition","Housenumber addition"
"Postal Code","Postal Code"
City,City
E-mailadress,E-mailadress
Phonenumber,Phonenumber
"Alternative Return Address","Alternative Return Address"
"Return Address","Return Address"
"Alternative Shipping Address for Hide Shipper Service","Alternative Shipping Address for Hide Shipper Service"
Usability,Usability
"Bulk Operations","Bulk Operations"
"Show service: Saturday","Show service: Saturday"
"Bulk Reports","Bulk Reports"
"Bulk status notification","Bulk status notification"
"Bulk success notification","Bulk success notification"
"Bulk error notification method","Bulk error notification method"
"Printing Service","Printing Service"
"Enable print service usage","Enable print service usage"
"Zebra printer","Zebra printer"
"Hide download button","Hide download button"
Automation,Automation
"Send tracking mail","Send tracking mail"
"Create shipments with DHL labels","Create shipments with DHL labels"
"On order status","On order status"
"Immediately print created DHL labels","Immediately print created DHL labels"
"Email Templates","Email Templates"
"Shipment: Overwrite 'email/shipment/track.phtml'","Shipment: Overwrite 'email/shipment/track.phtml'"
"Order: ServicePoint address","Order: ServicePoint address"
"Invoice: ServicePoint address","Invoice: ServicePoint address"
"Developer Settings","Developer Settings"
"Debug mode","Debug mode"
"Debug log","Debug log"
"Save label requests","Save label requests"
"Enable alternative API","Enable alternative API"
"Alternative API URL","Alternative API URL"
"DHL Parcel Shipping","DHL Parcel Shipping"
"API request data responses","API request data responses"
"Are you sure","Are you sure"
"Are you sure you want these actions to be taken","Are you sure you want these actions to be taken"
"DHL Labels","DHL Labels"
"Delivery date","Delivery date"
"ServicePoint ID","ServicePoint ID"
"Change Status","Change Status"
"Are you sure?","Are you sure?"
"Save preferred date to 'Shipping Description'","Save preferred date to 'Shipping Description'"
"Save the preferred shipping date to the order's 'Shipping Description' when a date is selected.","Save the preferred shipping date to the order's 'Shipping Description' when a date is selected."
"Discounts and shipping price","Discounts and shipping price"
"Calculate shipping price after discounts","Calculate shipping price after discounts"
"Do not apply 'free shipping' on service costs","Do not apply 'free shipping' on service costs"
