"Test Authentication","Test Authentication"
consumer,consumer
business,business
"DHL ServicePoint","DHL ServicePoint"
"We deliver your shipment to the address of the recipient","We deliver your shipment to the address of the recipient"
"At the door","At the door"
"We deliver your shipment to the recipient's nearest DHL ServicePoint","We deliver your shipment to the recipient's nearest DHL ServicePoint"
"In the mailbox","In the mailbox"
"Delivery in the mailbox of the recipient","Delivery in the mailbox of the recipient"
"(selected by customer)","(selected by customer)"
"(default closest selection)","(default closest selection)"
"Add a short reference for your own administration (max 15 characters).","Add a short reference for your own administration (max 15 characters)."
"Add a reference for your own administration (max 70 characters).","Add a reference for your own administration (max 70 characters)."
"Print an extra label for return shipments","Print an extra label for return shipments"
"This option allows you to claim the value of your shipment in case of damage or loss (up to € 500.00).","This option allows you to claim the value of your shipment in case of damage or loss (up to € 500.00)."
"We ask for a signature on delivery.","We ask for a signature on delivery."
"We deliver your shipment in the evening.","We deliver your shipment in the evening."
"We do not deliver at neighbours in case the recipient is not at home.","We do not deliver at neighbours in case the recipient is not at home."
"Additional transport insurance. If the value of the goods exceeds € 50.000, please contact our Customer Service prior to shipping.","Additional transport insurance. If the value of the goods exceeds € 50.000, please contact our Customer Service prior to shipping."
"We deliver your shipment on Saturday.","We deliver your shipment on Saturday."
"We deliver your shipment before 11 AM.","We deliver your shipment before 11 AM."
"We deliver your shipment on a site under construction.","We deliver your shipment on a site under construction."
"Ex factory","Ex factory"
"Hide original shipper and use configuration ""Alternative Shipping Address for Hide Shipper Service""","Hide original shipper and use configuration ""Alternative Shipping Address for Hide Shipper Service"""
"We will deliver your shipment today.","We will deliver your shipment today."
"The recipient's age is checked (18+)","The recipient's age is checked (18+)"
"Automatically created DHL labels can be immediately sent to printer. Please setup and enable Print Service to use this feature","Automatically created DHL labels can be immediately sent to printer. Please setup and enable Print Service to use this feature"
"Bulk action print is active, no action is necessary","Bulk action print is active, no action is necessary"
"Print service has been activated. However to use print in bulk actions it must first be enabled. This can be found under Usability - Bulk Operations - Print labels","Print service has been activated. However to use print in bulk actions it must first be enabled. This can be found under Usability - Bulk Operations - Print labels"
"View Log","View Log"
"Reset log","Reset log"
"No shipping days have been set, for sameday to function this field is required","No shipping days have been set, for sameday to function this field is required"
"Export CSV","Export CSV"
Country,Country
Region/State,Region/State
"Zip/Postal Code","Zip/Postal Code"
"Shipping Price","Shipping Price"
"Invalid system.xml configuration used, field required name is import","Invalid system.xml configuration used, field required name is import"
"Authentication successful","Authentication successful"
"Authentication failed. Please try again or contact customer service for help","Authentication failed. Please try again or contact customer service for help"
"DHL Parcel bulk action called from an invalid page","DHL Parcel bulk action called from an invalid page"
"Successfully created shipments and labels for following orders: %1","Successfully created shipments and labels for following orders: %1"
"Successfully created shipments and labels for %1 orders","Successfully created shipments and labels for %1 orders"
"Successfully created shipments and labels for %1 orders and %2 orders failed due to errors","Successfully created shipments and labels for %1 orders and %2 orders failed due to errors"
"No shipments and labels where created, %1 orders failed due to errors","No shipments and labels where created, %1 orders failed due to errors"
"Something unexpected happened, please contact your administrator","Something unexpected happened, please contact your administrator"
"Following orders do not have a valid combination of service options and require manual creation: %1","Following orders do not have a valid combination of service options and require manual creation: %1"
